pmid	title	virus_name	virus_abbr	virus_family	virus_genus	host_phylum	host_class	host_common_name	host_association_method	discovery_context	match_type	host_score
36271727	Enhanced Zika virus-like particle development using Baculovirus spp. constructs.	we constructed and characterized recombinant baculovirus				Arthropoda	Malacostraca	crustacean	confirmed_infection	metagenomic_with_host_evidence	pattern	3
36282009	A review on molecular detection techniques of white spot syndrome virus: Perspectives of problems and solutions in shrim	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	3
36282009	A review on molecular detection techniques of white spot syndrome virus: Perspectives of problems and solutions in shrim	techniques of white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	3
36282009	A review on molecular detection techniques of white spot syndrome virus: Perspectives of problems and solutions in shrim	aspects of white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	3
36282009	A review on molecular detection techniques of white spot syndrome virus: Perspectives of problems and solutions in shrim	potential economic effects of the virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	3
36282009	A review on molecular detection techniques of white spot syndrome virus: Perspectives of problems and solutions in shrim	to treat and prevent the virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	3
36286466	Antimicrobial Secondary Metabolites from the Mangrove Plants of Asia and the Pacific.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	3
36286466	Antimicrobial Secondary Metabolites from the Mangrove Plants of Asia and the Pacific.	as the white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	3
36296288	CRISPR-Cas Genome Editing Technique for Fish Disease Management: Current Study and Future Perspective.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	3
36296288	CRISPR-Cas Genome Editing Technique for Fish Disease Management: Current Study and Future Perspective.	protozoan group and nervous necrosis virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	3
36296288	CRISPR-Cas Genome Editing Technique for Fish Disease Management: Current Study and Future Perspective.	and the white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	3
36298775	Identification of a Novel Solinvivirus with Nuclear Localization Associated with Mass Mortalities in Cultured Whiteleg S	infectious myonecrosis virus	IMNV	Totiviridae	Giardiavirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	4
36298775	Identification of a Novel Solinvivirus with Nuclear Localization Associated with Mass Mortalities in Cultured Whiteleg S	causing virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	4
36298775	Identification of a Novel Solinvivirus with Nuclear Localization Associated with Mass Mortalities in Cultured Whiteleg S	novel variant of infectious myonecrosis virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	4
36298775	Identification of a Novel Solinvivirus with Nuclear Localization Associated with Mass Mortalities in Cultured Whiteleg S	the novel virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	4
36298775	Identification of a Novel Solinvivirus with Nuclear Localization Associated with Mass Mortalities in Cultured Whiteleg S	nylan deria fulva virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	4
36298775	Identification of a Novel Solinvivirus with Nuclear Localization Associated with Mass Mortalities in Cultured Whiteleg S	a unique feature of this virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	4
36298775	Identification of a Novel Solinvivirus with Nuclear Localization Associated with Mass Mortalities in Cultured Whiteleg S	the tissue tropism of this virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	4
36298775	Identification of a Novel Solinvivirus with Nuclear Localization Associated with Mass Mortalities in Cultured Whiteleg S	it is the only rna virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	4
36312446	A generalizable and tunable engineered ecosystem provides a clear route to prosperity and well-being to harness the worl	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	3
36312446	A generalizable and tunable engineered ecosystem provides a clear route to prosperity and well-being to harness the worl	by the white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	3
36313590	Rab7 Investigation Insights into the Existence of White Spot Syndrome Virus in Crustaceans: An 	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	9
36313590	Rab7 Investigation Insights into the Existence of White Spot Syndrome Virus in Crustaceans: An 	existence of white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	9
36319873	Infection with Decapod iridescent virus 1: an emerging disease in shrimp culture.	infection with decapod iridescent virus				Arthropoda	Malacostraca	crustacean	co_occurrence_metagenomic	metagenomic_environmental	pattern	4
36319873	Infection with Decapod iridescent virus 1: an emerging disease in shrimp culture.	the virus				Arthropoda	Malacostraca	crustacean	co_occurrence_metagenomic	metagenomic_environmental	pattern	4
36319873	Infection with Decapod iridescent virus 1: an emerging disease in shrimp culture.	originally called cherax quadricarinatus iridovirus				Arthropoda	Malacostraca	crustacean	co_occurrence_metagenomic	metagenomic_environmental	pattern	4
36319873	Infection with Decapod iridescent virus 1: an emerging disease in shrimp culture.	or shrimp hemocyte iridescent virus				Arthropoda	Malacostraca	crustacean	co_occurrence_metagenomic	metagenomic_environmental	pattern	4
36319873	Infection with Decapod iridescent virus 1: an emerging disease in shrimp culture.	formally named as decapod iridescent virus				Arthropoda	Malacostraca	crustacean	co_occurrence_metagenomic	metagenomic_environmental	pattern	4
36319873	Infection with Decapod iridescent virus 1: an emerging disease in shrimp culture.	international committee on taxonomy of virus				Arthropoda	Malacostraca	crustacean	co_occurrence_metagenomic	metagenomic_environmental	pattern	4
36328328	Dietary supplementation of Pseudoalteromonas piscicida 1UB and fructooligosaccharide enhance growth performance and prot	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	6
36328328	Dietary supplementation of Pseudoalteromonas piscicida 1UB and fructooligosaccharide enhance growth performance and prot	resistance against white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	6
36336976	A loop-mediated isothermal amplification-based microfluidic chip for triplex detection of shrimp pathogens.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	4
36336976	A loop-mediated isothermal amplification-based microfluidic chip for triplex detection of shrimp pathogens.	decapod iridescent virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	4
36341873	The interferon-like proteins, Vagos, in Fenneropenaeus merguiensis elicit antimicrobial responses against WSSV and VP	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured	known	5
36341873	The interferon-like proteins, Vagos, in Fenneropenaeus merguiensis elicit antimicrobial responses against WSSV and VP	including white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured	pattern	5
36341874	A novel c-type lysozyme from Litopenaeus vannamei exhibits potent antimicrobial activity.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	6
36341874	A novel c-type lysozyme from Litopenaeus vannamei exhibits potent antimicrobial activity.	parahaemolyticus or white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	6
36350876	Rapid sample preparation and low-resource molecular detection of hepatopancreatic parvoviruses (HPV) by recombinase poly	hepatopancreatic parvovirus	HPV	Parvoviridae	Decapodpenstyldensovirus	Arthropoda	Malacostraca	crustacean	confirmed_infection	metagenomic_with_host_evidence	known	5
36350876	Rapid sample preparation and low-resource molecular detection of hepatopancreatic parvoviruses (HPV) by recombinase poly	resource molecular detection of hepatopancreatic parvovirus				Arthropoda	Malacostraca	crustacean	confirmed_infection	metagenomic_with_host_evidence	pattern	5
36350876	Rapid sample preparation and low-resource molecular detection of hepatopancreatic parvoviruses (HPV) by recombinase poly	hpv virus				Arthropoda	Malacostraca	crustacean	confirmed_infection	metagenomic_with_host_evidence	pattern	5
36350876	Rapid sample preparation and low-resource molecular detection of hepatopancreatic parvoviruses (HPV) by recombinase poly	quick determination of unfavourable hpv virus				Arthropoda	Malacostraca	crustacean	confirmed_infection	metagenomic_with_host_evidence	pattern	5
36374759	Eco-efficiency assessment of disease-infected shrimp farming in Mexico using environmental impact assessment tools.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	6
36374759	Eco-efficiency assessment of disease-infected shrimp farming in Mexico using environmental impact assessment tools.	of the white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	6
36384189	Complete genome sequence and characterization of four Decapod iridescent virus 1 isolates from crab and shrimp.	characterization of four decapod iridescent virus				Arthropoda	Malacostraca	crustacean	confirmed_infection	metagenomic_with_host_evidence	pattern	9
36384189	Complete genome sequence and characterization of four Decapod iridescent virus 1 isolates from crab and shrimp.	decapod iridescent virus				Arthropoda	Malacostraca	crustacean	confirmed_infection	metagenomic_with_host_evidence	pattern	9
36384189	Complete genome sequence and characterization of four Decapod iridescent virus 1 isolates from crab and shrimp.	indicating the virus				Arthropoda	Malacostraca	crustacean	confirmed_infection	metagenomic_with_host_evidence	pattern	9
36400368	Dietary glycerol monolaurate protects Cherax quadricarinatus against white spot syndrome virus infection.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	3
36400368	Dietary glycerol monolaurate protects Cherax quadricarinatus against white spot syndrome virus infection.	quadricarinatus against white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	3
36419594	Autophagy and white spot syndrome virus infection in crustaceans.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	6
36419594	Autophagy and white spot syndrome virus infection in crustaceans.	autophagy and white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	6
36420481	C-type lectin binds envelope protein of white spot syndrome virus and induces antiviral peptides in red swamp crayfish.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	7
36420481	C-type lectin binds envelope protein of white spot syndrome virus and induces antiviral peptides in red swamp crayfish.	protein of white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	7
36420481	C-type lectin binds envelope protein of white spot syndrome virus and induces antiviral peptides in red swamp crayfish.	by inhibiting white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	7
36420481	C-type lectin binds envelope protein of white spot syndrome virus and induces antiviral peptides in red swamp crayfish.	mechanism that a prr recognizes virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	7
36420483	Identification and functional characterization of a 	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	6
36420483	Identification and functional characterization of a 	molecules are able to recognize virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	6
36420483	Identification and functional characterization of a 	therefore killing the virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	6
36420483	Identification and functional characterization of a 	regulated by white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	6
36420489	Characterization and functional analysis of tandem threonine containing C-type lectin (Thr-Lec) from the ridgetail white	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	4
36420489	Characterization and functional analysis of tandem threonine containing C-type lectin (Thr-Lec) from the ridgetail white	parahaemolyticus and white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	4
36420491	Rapid regulation of hemocyte homeostasis in crayfish and its manipulation by viral infection.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	3
