pmid	title	virus_name	virus_abbr	virus_family	virus_genus	host_phylum	host_class	host_common_name	host_association_method	discovery_context
23997443	Molecular Biology and Epidemiology of Hepatopancreatic parvovirus of Penaeid Shrimp.	hepatopancreatic parvovirus	HPV	Parvoviridae	Decapodpenstyldensovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
23997444	Genomics, Molecular Epidemiology and Diagnostics of Infectious hypodermal and hematopoietic necrosis virus.	infectious hypodermal and hematopoietic necrosis virus	IHHNV	Parvoviridae	Penstyldensovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24031739	First report of White spot syndrome virus in farmed and wild penaeid shrimp from lagoa dos patos estuary, southern brazi	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24037660	Analysis of the complete nucleotide sequence of a white spot syndrome virus isolated from Pacific white shrimp.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24041842	Molecular cloning and characterization of a cathepsin B gene from the Chinese shrimp Fenneropenaeus chinensis.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24045127	Molecular immune response of the American lobster (Homarus americanus) to the White Spot Syndrome Virus.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24049173	Prohibitin Interacts with envelope proteins of white spot syndrome virus and prevents infection in the red swamp crayfis	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24056278	Characterization of a 2-Cys peroxiredoxin IV in Marsupenaeus japonicus (kuruma shrimp) and its role in the anti-viral im	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24057166	Comparison of protein expression profiles of the hepatopancreas in Fenneropenaeus chinensis challenged with heat-inactiv	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24062547	Novel, closely related, white spot syndrome virus (WSSV) genotypes from Madagascar, Mozambique and the Kingdom of Saudi 	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24073212	TCTP is a critical factor in shrimp immune response to virus infection.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24076066	PmTBC1D20, a Rab GTPase-activating protein from the black tiger shrimp, Penaeus monodon, is involved in white spot syndr	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24081826	Preparation of transgenic Dunaliella salina for immunization against white spot syndrome virus in crayfish.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24083583	Isolation and characterization of halophilic Bacillus sp. BS3 able to produce pharmacologically important biosurfactants	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured
24084041	Identification, cloning and characterization of an extracellular signal-regulated kinase (ERK) from Chinese shrimp, Fenn	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24089551	The DNA virus white spot syndrome virus uses an internal ribosome entry site for translation of the highly expressed non	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
